Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
3/18/2022 9:19,105.871,81.204,6.188,3.3,75.71,890.9,915.8,116.3,104.2,144.9,891.3,8.77,18.8,3,0.734876872
3/18/2022 9:20,106.323,81.471,6.864,3.16,74.82,885.4009998,895.3,116.9,93.1,146,923.9,8.76,18.8,1,0.041403359
3/18/2022 9:21,106.072,81.242,6.968,3.19,74.8,908.4,927.5,118.7,105.5,145.5,928,8.81,18.75,1,0.368268168
3/18/2022 9:22,106.031,81.518,6.188,2.86,75.62,904.4,919.9,119.9,107.8,145.7,902.1,8.93,18.64,4,0.642783086
3/18/2022 9:23,105.944,80.617,6.968,3.190302023,74.82,908.6,902.6608198,127.3,104.9,145.9,926.5,8.85,18.73,1,0.522162026
3/18/2022 9:23,106.28,81.311,7.124,3.18,74.81,888.5,902.7,118.4,105.7,146.3,913.2,8.79,18.78,2,0.274052702
3/18/2022 9:24,90.34,81.094,7.852,3.08,74.81,917.5,937,130.3,111.8,145.2,943,8.98,18.59,2,0.395190472
3/18/2022 9:25,106.088,82.045,11.18,2.98,75.61,900.9,918.4,109.7,101.9,145.6,867.3,8.79,18.78,4,0.861618846
3/18/2022 9:26,105.449,81.362,6.864,3.16,74.83,901.6,918.2,120.5,106.355786,147,882.3,8.8,18.73,1,0.12163384
3/18/2022 9:27,106.031,82.012,11.128,2.92,75.62,900.9,916.7,115.7,104.5,147.2,886.4,8.85,18.72,4,0.116585845
3/18/2022 10:00,105.834,81.021,6.292,3.25,75.74,891.5,912.5,117.2,108,146,904.9,8.89,18.68,4,0.999774587
3/18/2022 10:01,105.507,80.777,6.292,4.96,75.79,896.8,919.7,97.7,82.5,146.3,840.3,8.64,18.92,3,0.783205656
3/18/2022 10:01,106.318,81.354,6.864,3.19,74.8,913.4,929.5,120.5,105.5,146.9,923.7,8.84,18.73,1,0.240876656
3/18/2022 10:02,151.787,82.054,10.972,2.97,75.67,903.3,918.4,111.8,105.2,145.5,889.8,8.82,18.75,4,0.738603278
3/18/2022 10:03,106.2747053,80.617,6.864,3.22,74.82,903.1,902.5504538,116.9,107.8,146.1,917.5,8.59,18.76,1,0.7907115
3/18/2022 10:03,106.136,81.127,7.852,3.11,74.82,916.4,939.4,120.5,109.4,145.3,930,8.94,18.63,2,0.907191183
3/18/2022 10:04,150.692,82.001,10.972,2.95,75.61,900.5,916.6,115.1,102.8,145.1,887.4,8.84,18.73,4,0.984083736
